The first block gives for each co-culture type the mean C,R at time 0
the second block is the degradation data of each co-culture at t=110[h]
the format is: polymer_name	strains	C	R
Cladosiphon	LCC_4|isolate_25|isolate_56|isolate_69	1.8046390551367895	0.601660996496213
Cladosiphon	LCC_4|isolate_25|isolate_56|isolate_69	1.5487689501265594	0.53993025893565
Cladosiphon	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_69|isolate_94	1.8053437213389705	0.6268050307151589
Cladosiphon	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_69|isolate_94	1.5826622489670756	0.5617844757497403
Cladosiphon	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_69|isolate_94	1.7259237065486146	0.5565294700645802
Cladosiphon	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_94	1.5658529571943676	0.5083155038699386
Cladosiphon	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_94	1.5882890512800467	0.5024283440141123
Cladosiphon	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_94	1.5716949695780635	0.5053932963692398
Cladosiphon	isolate_69	0.1935634890139699	0.0980393334964943
Cladosiphon	isolate_69	0.2306012966690798	0.07399169751449797
Cladosiphon	isolate_69	0.21447048031650984	0.06941925903879688
Cladosiphon	isolate_12|isolate_40|isolate_69|isolate_94	0.30759517646548007	0.11863701542484809
Cladosiphon	isolate_12|isolate_40|isolate_69|isolate_94	0.17663615912071018	0.08786625704964013
Cladosiphon	isolate_12|isolate_40|isolate_69|isolate_94	0.07602834184075014	0.0558385261271646
Cladosiphon	isolate_12|isolate_40|isolate_94	0.01994302766118672	0.04588520241941382
Cladosiphon	isolate_12|isolate_40|isolate_94	0.0	0.07536958931402032
Cladosiphon	isolate_12|isolate_40|isolate_94	0.0	0.03640799499760607
Durvillea	LCC_4|isolate_25|isolate_56	0.7528297721521493	0.2518251353368029
Durvillea	LCC_4|isolate_25|isolate_56	0.7555698005019601	0.25853499470832375
Durvillea	LCC_4|isolate_25|isolate_56	0.7559093195600713	0.2609948967972787
Durvillea	LCC_4|isolate_25|isolate_56|isolate_69	0.8050778819227965	0.3171612451507385
Durvillea	LCC_4|isolate_25|isolate_56|isolate_69	0.8000379548023314	0.31366785732491154
Durvillea	LCC_4|isolate_25|isolate_56|isolate_69	0.8068050653725868	0.32631895864707794
Durvillea	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_69|isolate_94	0.7699626622754706	0.37764875959037475
Durvillea	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_69|isolate_94	0.765992542875992	0.3893187138476311
Durvillea	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_69|isolate_94	0.7659243523257093	0.3994998644056442
Durvillea	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_94	0.7518696563276085	0.37396321138698996
Durvillea	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_94	0.7423190660017337	0.37790443710835175
Durvillea	LCC_4|isolate_12|isolate_25|isolate_40|isolate_56|isolate_94	0.7420128835742897	0.36594435679525955
Durvillea	isolate_69	0.31556223947476936	0.11441787351139411
